epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,798.9,0.67501,4.95313,0.49254,0.54385,1.03302,0.98924,1,0.995,0.83176,0.24931,0.25,0.15635,0.02014,0.76663,4.6081,0.32128,0.52932,1.02551,0.000952678,0.000952678,0.000952678
31,824.883,0.634,4.93474,0.48678,0.53107,1.02512,0.98957,1,0.995,0.71322,0.39894,0.4,0.32145,0.05137,1.10709,4.48998,0.31839,0.5588,1.26268,0.000928046,0.000928046,0.000928046
32,850.494,0.66513,5.0715,0.49042,0.54909,1.03417,0.98207,1,0.995,0.72501,0.47367,0.475,0.45573,0.08121,1.04719,4.41314,0.31433,0.55324,1.17573,0.000903414,0.000903414,0.000903414
33,876.08,0.67936,4.83935,0.47015,0.56365,1.05363,0.97024,1,0.995,0.77101,0.47373,0.475,0.45935,0.10752,0.8995,4.06649,0.31595,0.52607,1.0844,0.000878783,0.000878783,0.000878783
34,901.812,0.63196,4.82183,0.46892,0.53649,1.03254,0.96008,1,0.995,0.76236,0.18417,0.175,0.15943,0.02842,1,4.63962,0.30452,0.52011,1.14704,0.000854151,0.000854151,0.000854151
35,930.564,0.69086,4.93213,0.4605,0.54733,1.02812,0.98023,1,0.995,0.78897,0.47372,0.475,0.4557,0.1379,0.83453,3.79925,0.29894,0.50348,1.04324,0.000829519,0.000829519,0.000829519
36,958.227,0.63331,4.63596,0.46956,0.49574,1.023,0.98304,1,0.995,0.80055,0.34909,0.35,0.30924,0.0825,0.88572,4.12159,0.30158,0.49357,1.07202,0.000804887,0.000804887,0.000804887
37,984.16,0.58514,4.21829,0.44779,0.48351,1.0192,0.98605,1,0.995,0.75912,0.42389,0.425,0.3899,0.08048,1.02656,4.23958,0.30411,0.52096,1.1833,0.000780256,0.000780256,0.000780256
38,1010.05,0.61259,4.39522,0.45934,0.48879,1.00387,0.98244,1,0.995,0.80713,0.32412,0.325,0.28451,0.05838,0.85798,4.1715,0.30011,0.46981,1.05508,0.000755624,0.000755624,0.000755624
39,1035.19,0.57647,4.29427,0.45228,0.47568,1.0085,0.979,1,0.995,0.80545,0.17472,0.175,0.07598,0.00999,0.80519,4.88617,0.29872,0.46243,1.04337,0.000730992,0.000730992,0.000730992
40,1062.68,0.585,4.3536,0.45635,0.48343,1.01518,0.97653,1,0.995,0.83264,0.49855,0.5,0.4975,0.10087,0.74764,3.83404,0.29586,0.48066,1.00556,0.00070636,0.00070636,0.00070636
41,1088.4,0.59106,4.57581,0.46829,0.47768,0.99056,0.98295,1,0.995,0.83868,0.44875,0.45,0.4336,0.10107,0.77706,3.86262,0.29842,0.46038,1.03278,0.000681728,0.000681728,0.000681728
42,1113.73,0.62341,4.13706,0.44969,0.48658,1.00265,0.98729,1,0.995,0.85053,0.49857,0.5,0.4975,0.12879,0.71988,3.57979,0.29992,0.46998,1.0031,0.000657097,0.000657097,0.000657097
